mp,commitee_id,meeting_id,meeting_date
1164,207,13130,2013-10-04
1164,203,13096,2013-10-08
1164,207,13118,2013-10-09
1164,207,13137,2013-10-11
1164,207,13148,2013-10-14
1164,207,13152,2013-10-16
1164,203,13149,2013-10-17
1164,207,13131,2013-10-18
1164,207,13210,2013-10-28
1164,207,13211,2013-10-29
1164,207,13213,2013-10-30
1164,207,13212,2013-11-01
1164,207,13181,2013-11-04
1164,203,13200,2013-11-05
1164,207,13194,2013-11-06
1164,203,13214,2013-11-07
1164,203,13224,2013-11-07
1164,207,13203,2013-11-11
1164,203,13232,2013-11-12
1164,207,13263,2013-11-13
1164,203,13249,2013-11-14
1164,207,13228,2013-11-15
1164,203,13255,2013-11-15
1164,203,13269,2013-11-19
1164,207,13264,2013-11-19
1164,207,13266,2013-11-20
1164,203,13282,2013-11-21
1164,203,13292,2013-11-22
1164,207,13300,2013-11-25
1164,203,13298,2013-11-25
1164,207,13313,2013-11-27
1164,203,13325,2013-11-28
1164,203,13333,2013-11-29
1164,203,13335,2013-11-29
1164,207,13343,2013-12-02
1164,207,13327,2013-12-03
1164,203,13342,2013-12-03
1164,207,13348,2013-12-04
1164,203,13353,2013-12-05
1164,207,13350,2013-12-05
1164,207,13357,2013-12-06
1164,203,13362,2013-12-06
1164,207,13375,2013-12-07
1164,207,13376,2013-12-09
1164,203,13373,2013-12-09
1164,207,13378,2013-12-09
1164,203,13382,2013-12-10
1164,207,13387,2013-12-11
1164,207,13390,2013-12-11
1164,207,13512,2013-12-11
1164,207,13394,2013-12-13
1164,207,13404,2013-12-16
1164,207,13422,2013-12-19
1164,207,13427,2013-12-19
1164,207,13576,2013-12-19
1164,203,13477,2014-01-21
1164,207,13478,2014-01-22
1164,203,13488,2014-01-23
1164,207,13505,2014-01-29
1164,207,13518,2014-02-12
1164,203,13554,2014-02-13
1164,207,13557,2014-02-17
1164,203,13568,2014-02-17
1164,203,13575,2014-02-18
1164,207,13574,2014-02-19
1164,203,13588,2014-02-20
1164,203,13592,2014-02-20
1164,207,13585,2014-02-24
1164,203,13607,2014-02-25
1164,207,13598,2014-02-26
1164,203,13616,2014-02-27
1164,203,13626,2014-03-03
1164,207,13618,2014-03-05
1164,203,13639,2014-03-05
1164,203,13650,2014-03-06
1164,203,13663,2014-03-11
1164,207,13668,2014-03-12
1164,203,13680,2014-03-13
1164,203,13690,2014-03-18
1164,203,13699,2014-03-20
1164,207,13696,2014-03-24
1164,203,13715,2014-03-25
1164,203,13729,2014-03-27
1164,207,13723,2014-03-31
1164,203,13745,2014-04-01
1164,207,13725,2014-04-02
1164,203,13758,2014-04-03
1164,203,13771,2014-04-08
1164,207,13776,2014-04-09
1164,207,13803,2014-04-28
1164,203,13813,2014-04-29
1164,203,13826,2014-04-30
1164,203,13825,2014-05-02
1164,207,13821,2014-05-02
1164,203,13841,2014-05-05
1164,207,13834,2014-05-05
1164,203,13842,2014-05-05
1164,203,13856,2014-05-06
1164,207,13838,2014-05-07
1164,203,13863,2014-05-07
1164,203,13872,2014-05-08
1164,207,13864,2014-05-08
1164,203,13876,2014-05-09
1164,203,13879,2014-05-09
1164,207,13865,2014-05-12
1164,203,13912,2014-05-12
1164,203,13899,2014-05-13
1164,203,13900,2014-05-13
1164,203,13914,2014-05-14
1164,203,13918,2014-05-15
1164,203,13926,2014-05-16
1164,207,13936,2014-05-16
1164,207,13947,2014-06-04
1164,203,14023,2014-06-26
1164,203,13975,2014-07-01
1164,207,14006,2014-08-25
630,206,13093,2013-10-08
630,206,13111,2013-10-10
630,206,13119,2013-10-11
630,206,13120,2013-10-11
630,202,13175,2013-10-29
630,206,13182,2013-10-31
630,206,13202,2013-11-05
630,206,13215,2013-11-07
630,206,13219,2013-11-08
630,206,13220,2013-11-08
630,206,13237,2013-11-15
630,206,13267,2013-11-19
630,206,13284,2013-11-22
630,206,13304,2013-11-25
630,206,13340,2013-12-03
630,206,13346,2013-12-05
630,206,13360,2013-12-06
630,205,13364,2013-12-09
630,206,13372,2013-12-09
630,206,13383,2013-12-10
630,206,13389,2013-12-12
630,134,13448,2014-01-17
630,206,13476,2014-01-21
630,202,13470,2014-01-22
630,206,13487,2014-01-23
630,206,13528,2014-02-11
630,206,13555,2014-02-13
630,206,13560,2014-02-17
630,206,13573,2014-02-18
630,206,13587,2014-02-20
630,206,13617,2014-02-27
630,206,13634,2014-03-04
630,206,13638,2014-03-05
630,206,13666,2014-03-11
630,206,13691,2014-03-18
630,206,13712,2014-03-25
630,206,13730,2014-03-27
630,206,13744,2014-03-31
630,134,13746,2014-04-02
630,206,13811,2014-04-29
630,206,13824,2014-05-02
630,206,13839,2014-05-05
630,206,13854,2014-05-06
630,204,13857,2014-05-07
630,206,13859,2014-05-07
630,206,13870,2014-05-08
630,206,13875,2014-05-09
630,206,13893,2014-05-13
630,206,13907,2014-05-14
630,206,13957,2014-06-12
630,206,14008,2014-08-22
630,206,14012,2014-08-26
1166,201,13048,2013-10-03
1166,207,13130,2013-10-04
1166,201,13095,2013-10-08
1166,148,13089,2013-10-08
1166,207,13118,2013-10-09
1166,201,13108,2013-10-10
1166,207,13137,2013-10-11
1166,207,13152,2013-10-16
1166,207,13210,2013-10-28
1166,201,13174,2013-10-29
1166,201,13178,2013-10-31
1166,205,13193,2013-11-04
1166,201,13199,2013-11-05
1166,205,13240,2013-11-13
1166,201,13250,2013-11-13
1166,201,13239,2013-11-14
1166,201,13251,2013-11-15
1166,205,13261,2013-11-18
1166,201,13265,2013-11-19
1166,206,13267,2013-11-19
1166,205,13270,2013-11-20
1166,205,13279,2013-11-21
1166,201,13297,2013-11-25
1166,206,13314,2013-11-26
1166,201,13312,2013-11-26
1166,205,13318,2013-11-27
1166,201,13332,2013-11-29
1166,201,13339,2013-12-03
1166,205,13347,2013-12-04
1166,201,13356,2013-12-05
1166,205,13364,2013-12-09
1166,201,13370,2013-12-09
1166,201,13380,2013-12-10
1166,201,13388,2013-12-12
1166,207,13394,2013-12-13
1166,205,13406,2013-12-16
1166,207,13404,2013-12-16
1166,201,13416,2013-12-17
1166,201,13420,2013-12-18
1166,201,13428,2013-12-19
1166,207,13427,2013-12-19
1166,201,13442,2014-01-14
1166,205,13443,2014-01-15
1166,201,13467,2014-01-16
1166,205,13472,2014-01-20
1166,201,13475,2014-01-21
1166,205,13482,2014-01-22
1166,201,13486,2014-01-22
1166,205,13495,2014-01-27
1166,201,13492,2014-01-28
1166,205,13504,2014-01-29
1166,201,13509,2014-01-30
1166,205,13510,2014-01-30
1166,205,13523,2014-02-10
1166,205,13551,2014-02-12
1166,201,13552,2014-02-13
1166,205,13558,2014-02-17
1166,201,13562,2014-02-17
1166,201,13572,2014-02-18
1166,205,13583,2014-02-19
1166,201,13586,2014-02-20
1166,201,13590,2014-02-21
1166,205,13602,2014-02-24
1166,201,13606,2014-02-25
1166,205,13612,2014-02-26
1166,205,13623,2014-03-03
1166,201,13622,2014-03-03
1166,205,13631,2014-03-04
1166,202,13632,2014-03-05
1166,201,13637,2014-03-05
1166,201,13647,2014-03-06
1166,205,13652,2014-03-10
1166,201,13665,2014-03-11
1166,201,13677,2014-03-13
1166,201,13689,2014-03-18
1166,201,13697,2014-03-20
1166,201,13698,2014-03-21
1166,205,13703,2014-03-24
1166,206,13712,2014-03-25
1166,201,13713,2014-03-25
1166,205,13731,2014-03-31
1166,201,13743,2014-04-01
1166,205,13751,2014-04-02
1166,201,13753,2014-04-03
1166,206,13759,2014-04-03
1166,201,13769,2014-04-08
1166,201,13789,2014-04-11
1166,201,13808,2014-04-29
1166,205,13819,2014-04-30
1166,205,13833,2014-05-05
1166,201,13867,2014-05-08
1166,205,13866,2014-05-08
1166,206,13875,2014-05-09
1166,201,13894,2014-05-12
1166,206,13893,2014-05-13
1166,205,13897,2014-05-13
1166,205,13905,2014-05-14
1166,205,13906,2014-05-14
1166,201,13908,2014-05-15
1166,201,13923,2014-05-16
1166,201,13933,2014-05-16
1166,204,13969,2014-06-18
1166,207,13990,2014-08-12
1166,207,13991,2014-08-13
1167,201,13129,2013-10-15
1167,201,13145,2013-10-17
1167,205,13209,2013-11-06
1167,201,13207,2013-11-07
1167,201,13265,2013-11-19
1167,201,13281,2013-11-21
1167,201,13297,2013-11-25
1167,201,13312,2013-11-26
1167,201,13326,2013-11-28
1167,201,13339,2013-12-03
1167,201,13356,2013-12-05
1167,201,13358,2013-12-06
1167,201,13370,2013-12-09
1167,201,13380,2013-12-10
1167,201,13405,2013-12-16
1167,201,13420,2013-12-18
1167,201,13428,2013-12-19
1167,201,13442,2014-01-14
1167,201,13449,2014-01-16
1167,201,13467,2014-01-16
1167,201,13492,2014-01-28
1167,201,13509,2014-01-30
1167,201,13533,2014-02-11
1167,201,13552,2014-02-13
1167,201,13559,2014-02-14
1167,201,13586,2014-02-20
1167,201,13590,2014-02-21
1167,201,13606,2014-02-25
1167,201,13615,2014-02-27
1167,201,13622,2014-03-03
1167,201,13630,2014-03-04
1167,201,13637,2014-03-05
1167,201,13647,2014-03-06
1167,201,13665,2014-03-11
1167,201,13689,2014-03-18
1167,201,13697,2014-03-20
1167,201,13698,2014-03-21
1167,201,13713,2014-03-25
1167,201,13726,2014-03-27
1167,201,13743,2014-04-01
1167,201,13753,2014-04-03
1167,201,13781,2014-04-10
1167,201,13789,2014-04-11
1167,201,13808,2014-04-29
1167,201,13835,2014-05-05
1167,201,13844,2014-05-06
1167,201,13867,2014-05-08
1167,201,13885,2014-05-12
1167,201,13894,2014-05-12
1167,201,13908,2014-05-15
1167,201,13923,2014-05-16
1167,201,13933,2014-05-16
1160,202,13038,2013-10-02
1160,206,13093,2013-10-08
1160,206,13111,2013-10-10
1160,206,13119,2013-10-11
1160,206,13120,2013-10-11
1160,204,13133,2013-10-14
1160,206,13135,2013-10-15
1160,204,13141,2013-10-16
1160,206,13147,2013-10-17
1160,202,13176,2013-10-30
1160,206,13182,2013-10-31
1160,202,13185,2013-11-01
1160,204,13192,2013-11-04
1160,206,13202,2013-11-05
1160,206,13215,2013-11-07
1160,206,13219,2013-11-08
1160,206,13220,2013-11-08
1160,206,13236,2013-11-12
1160,204,13241,2013-11-13
1160,201,13250,2013-11-13
1160,202,13247,2013-11-15
1160,206,13237,2013-11-15
1160,202,13246,2013-11-18
1160,206,13267,2013-11-19
1160,204,13273,2013-11-20
1160,204,13289,2013-11-22
1160,206,13284,2013-11-22
1160,204,13299,2013-11-25
1160,206,13304,2013-11-25
1160,206,13314,2013-11-26
1160,204,13317,2013-11-27
1160,206,13323,2013-11-28
1160,202,13334,2013-11-29
1160,206,13340,2013-12-03
1160,204,13371,2013-12-09
1160,206,13372,2013-12-09
1160,206,13383,2013-12-10
1160,204,13410,2013-12-16
1160,204,13913,2013-12-19
1160,202,13425,2013-12-19
1160,204,13445,2014-01-15
1160,206,13450,2014-01-16
1160,204,13468,2014-01-17
1160,134,13448,2014-01-17
1160,204,13473,2014-01-20
1160,206,13476,2014-01-21
1160,204,13481,2014-01-22
1160,206,13487,2014-01-23
1160,204,13491,2014-01-24
1160,204,13516,2014-02-03
1160,206,13528,2014-02-11
1160,204,13550,2014-02-12
1160,206,13555,2014-02-13
1160,204,13570,2014-02-17
1160,206,13560,2014-02-17
1160,206,13573,2014-02-18
1160,204,13584,2014-02-19
1160,206,13587,2014-02-20
1160,204,13613,2014-02-26
1160,206,13617,2014-02-27
1160,204,13625,2014-03-03
1160,206,13634,2014-03-04
1160,204,13629,2014-03-04
1160,204,13640,2014-03-05
1160,206,13638,2014-03-05
1160,206,13666,2014-03-11
1160,204,13676,2014-03-12
1160,204,13694,2014-03-19
1160,206,13712,2014-03-25
1160,204,13716,2014-03-26
1160,204,13734,2014-03-28
1160,206,13744,2014-03-31
1160,204,13752,2014-04-01
1160,204,13750,2014-04-02
1160,134,13746,2014-04-02
1160,206,13759,2014-04-03
1160,204,13809,2014-04-28
1160,148,13816,2014-04-28
1160,206,13811,2014-04-29
1160,204,13820,2014-04-30
1160,206,13824,2014-05-02
1160,204,13840,2014-05-05
1160,206,13839,2014-05-05
1160,206,13854,2014-05-06
1160,202,13845,2014-05-06
1160,204,13857,2014-05-07
1160,206,13859,2014-05-07
1160,206,13870,2014-05-08
1160,204,13871,2014-05-08
1160,202,13868,2014-05-08
1160,206,13875,2014-05-09
1160,202,13878,2014-05-09
1160,204,13889,2014-05-12
1160,204,13892,2014-05-12
1160,206,13893,2014-05-13
1160,202,13898,2014-05-13
1160,206,13907,2014-05-14
1160,206,13957,2014-06-12
1160,204,13969,2014-06-18
1160,206,14008,2014-08-22
1160,206,14012,2014-08-26
1161,201,13048,2013-10-03
1161,201,13095,2013-10-08
1161,201,13108,2013-10-10
1161,201,13174,2013-10-29
1161,201,13199,2013-11-05
1161,201,13233,2013-11-12
1161,201,13250,2013-11-13
1161,201,13251,2013-11-15
1161,202,13246,2013-11-18
1161,201,13265,2013-11-19
1161,202,13274,2013-11-20
1161,201,13281,2013-11-21
1161,201,13312,2013-11-26
1161,201,13339,2013-12-03
1161,201,13358,2013-12-06
1161,201,13370,2013-12-09
1161,201,13380,2013-12-10
1161,201,13388,2013-12-12
1161,201,13405,2013-12-16
1161,201,13417,2013-12-17
1161,201,13420,2013-12-18
1161,201,13428,2013-12-19
1161,201,13449,2014-01-16
1161,201,13467,2014-01-16
1161,201,13486,2014-01-22
1161,201,13480,2014-01-23
1161,201,13492,2014-01-28
1161,201,13533,2014-02-11
1161,201,13562,2014-02-17
1161,201,13572,2014-02-18
1161,201,13586,2014-02-20
1161,201,13590,2014-02-21
1161,201,13606,2014-02-25
1161,201,13622,2014-03-03
1161,201,13630,2014-03-04
1161,201,13637,2014-03-05
1161,201,13647,2014-03-06
1161,201,13665,2014-03-11
1161,201,13677,2014-03-13
1161,201,13697,2014-03-20
1161,201,13713,2014-03-25
1161,201,13726,2014-03-27
1161,201,13743,2014-04-01
1161,201,13753,2014-04-03
1161,201,13769,2014-04-08
1161,201,13789,2014-04-11
1161,201,13808,2014-04-29
1161,201,13835,2014-05-05
1161,201,13844,2014-05-06
1161,201,13885,2014-05-12
1161,201,13894,2014-05-12
1161,201,13908,2014-05-15
1161,201,13923,2014-05-16
1161,201,13933,2014-05-16
1162,202,13038,2013-10-02
1162,202,13046,2013-10-04
1162,202,13113,2013-10-04
1162,148,13089,2013-10-08
1162,202,13109,2013-10-09
1162,202,13132,2013-10-14
1162,202,13136,2013-10-16
1162,148,13146,2013-10-17
1162,202,13175,2013-10-29
1162,202,13176,2013-10-30
1162,148,13183,2013-10-31
1162,202,13185,2013-11-01
1162,148,13184,2013-11-01
1162,202,13186,2013-11-04
1162,148,13201,2013-11-05
1162,202,13230,2013-11-06
1162,202,13205,2013-11-06
1162,148,13216,2013-11-07
1162,202,13204,2013-11-08
1162,202,13226,2013-11-11
1162,202,13238,2013-11-13
1162,148,13245,2013-11-14
1162,202,13247,2013-11-15
1162,148,13257,2013-11-15
1162,202,13258,2013-11-18
1162,202,13246,2013-11-18
1162,148,13268,2013-11-19
1162,202,13274,2013-11-20
1162,202,13280,2013-11-21
1162,202,13291,2013-11-22
1162,202,13296,2013-11-25
1162,148,13301,2013-11-25
1162,148,13315,2013-11-26
1162,202,13321,2013-11-27
1162,202,13334,2013-11-29
1162,202,13338,2013-12-02
1162,202,13349,2013-12-04
1162,148,13352,2013-12-05
1162,202,13354,2013-12-05
1162,202,13361,2013-12-06
1162,148,13363,2013-12-06
1162,202,13374,2013-12-09
1162,148,13377,2013-12-09
1162,148,13381,2013-12-10
1162,202,13386,2013-12-11
1162,202,13392,2013-12-12
1162,202,13399,2013-12-13
1162,202,13402,2013-12-13
1162,202,13407,2013-12-16
1162,148,13415,2013-12-17
1162,202,13418,2013-12-17
1162,202,13421,2013-12-18
1162,202,13423,2013-12-18
1162,148,13424,2013-12-19
1162,202,13425,2013-12-19
1162,202,13430,2013-12-19
1162,202,13431,2013-12-20
1162,202,13435,2013-12-21
1162,202,13503,2013-12-21
1162,202,13446,2014-01-15
1162,148,13451,2014-01-16
1162,202,13474,2014-01-20
1162,148,13479,2014-01-21
1162,202,13470,2014-01-22
1162,148,13489,2014-01-23
1162,202,13497,2014-01-27
1162,148,13502,2014-01-28
1162,202,13508,2014-01-29
1162,202,13526,2014-02-10
1162,148,13534,2014-02-11
1162,202,13549,2014-02-12
1162,148,13553,2014-02-12
1162,202,13569,2014-02-17
1162,148,13571,2014-02-17
1162,202,13578,2014-02-19
1162,202,13603,2014-02-24
1162,202,13610,2014-02-26
1162,202,13621,2014-03-03
1162,148,13620,2014-03-03
1162,148,13633,2014-03-04
1162,202,13632,2014-03-05
1162,148,13645,2014-03-05
1162,148,13649,2014-03-06
1162,148,13651,2014-03-07
1162,202,13658,2014-03-10
1162,202,13669,2014-03-12
1162,148,13679,2014-03-13
1162,202,13682,2014-03-14
1162,148,13693,2014-03-18
1162,202,13710,2014-03-24
1162,148,13714,2014-03-25
1162,148,13728,2014-03-27
1162,148,13727,2014-03-27
1162,148,13732,2014-03-28
1162,202,13741,2014-03-31
1162,148,13733,2014-04-01
1162,202,13749,2014-04-02
1162,202,13757,2014-04-03
1162,148,13764,2014-04-03
1162,202,13765,2014-04-07
1162,148,13772,2014-04-08
1162,202,13777,2014-04-09
1162,206,13787,2014-04-11
1162,202,13814,2014-04-11
1162,202,13807,2014-04-28
1162,202,13818,2014-04-30
1162,202,13828,2014-05-02
1162,202,13837,2014-05-05
1162,148,13843,2014-05-05
1162,148,13853,2014-05-06
1162,202,13845,2014-05-06
1162,202,13858,2014-05-06
1162,202,13860,2014-05-07
1162,148,13861,2014-05-07
1162,202,13868,2014-05-08
1162,202,13878,2014-05-09
1162,202,13886,2014-05-12
1162,202,13898,2014-05-13
1162,202,13919,2014-05-15
1162,202,13924,2014-05-16
1162,148,13973,2014-06-26
1162,148,13985,2014-07-24
1162,148,13986,2014-07-30
631,148,13089,2013-10-08
631,148,13146,2013-10-17
631,148,13201,2013-11-05
631,148,13268,2013-11-19
631,148,13293,2013-11-22
631,148,13352,2013-12-05
631,148,13377,2013-12-09
631,148,13381,2013-12-10
631,148,13415,2013-12-17
631,148,13424,2013-12-19
631,148,13451,2014-01-16
631,148,13479,2014-01-21
631,148,13489,2014-01-23
631,148,13502,2014-01-28
631,148,13534,2014-02-11
631,148,13553,2014-02-12
631,148,13571,2014-02-17
631,148,13597,2014-02-21
631,148,13608,2014-02-25
631,148,13633,2014-03-04
631,148,13645,2014-03-05
631,148,13649,2014-03-06
631,148,13651,2014-03-07
631,148,13679,2014-03-13
631,148,13693,2014-03-18
631,148,13714,2014-03-25
631,148,13732,2014-03-28
631,148,13733,2014-04-01
631,148,13764,2014-04-03
631,148,13772,2014-04-08
631,148,13816,2014-04-28
631,148,13817,2014-04-29
631,148,13827,2014-05-02
631,148,13843,2014-05-05
631,148,13853,2014-05-06
631,148,13869,2014-05-08
631,148,13877,2014-05-09
631,148,13887,2014-05-12
631,148,13901,2014-05-14
631,148,13956,2014-06-10
631,148,13970,2014-06-25
631,148,13973,2014-06-26
631,148,13986,2014-07-30
631,148,14015,2014-09-02
704,202,13038,2013-10-02
704,202,13109,2013-10-09
704,202,13175,2013-10-29
704,202,13176,2013-10-30
704,202,13296,2013-11-25
704,205,13311,2013-11-26
704,202,13321,2013-11-27
704,202,13338,2013-12-02
704,202,13349,2013-12-04
704,202,13354,2013-12-05
704,202,13361,2013-12-06
704,207,13375,2013-12-07
704,202,13374,2013-12-09
704,202,13386,2013-12-11
704,202,13399,2013-12-13
704,202,13402,2013-12-13
704,202,13407,2013-12-16
704,202,13418,2013-12-17
704,202,13423,2013-12-18
704,202,13425,2013-12-19
704,202,13431,2013-12-20
704,202,13435,2013-12-21
704,202,13503,2013-12-21
704,202,13446,2014-01-15
704,202,13474,2014-01-20
704,202,13470,2014-01-22
704,202,13497,2014-01-27
704,202,13508,2014-01-29
704,202,13569,2014-02-17
704,202,13578,2014-02-19
704,202,13603,2014-02-24
704,202,13610,2014-02-26
704,202,13621,2014-03-03
704,202,13632,2014-03-05
704,202,13658,2014-03-10
704,202,13669,2014-03-12
704,202,13710,2014-03-24
704,202,13741,2014-03-31
704,202,13749,2014-04-02
704,202,13757,2014-04-03
704,148,13764,2014-04-03
704,202,13765,2014-04-07
704,202,13777,2014-04-09
704,206,13787,2014-04-11
704,202,13814,2014-04-11
704,202,13807,2014-04-28
704,148,13817,2014-04-29
704,202,13818,2014-04-30
704,202,13837,2014-05-05
704,148,13843,2014-05-05
704,148,13853,2014-05-06
704,202,13845,2014-05-06
704,202,13858,2014-05-06
704,202,13860,2014-05-07
704,148,13861,2014-05-07
704,148,13869,2014-05-08
704,202,13868,2014-05-08
704,202,13878,2014-05-09
704,202,13886,2014-05-12
704,202,13898,2014-05-13
704,202,13924,2014-05-16
704,148,13985,2014-07-24
704,148,13986,2014-07-30
704,148,13994,2014-08-14
705,206,13093,2013-10-08
705,206,13111,2013-10-10
705,206,13119,2013-10-11
705,206,13120,2013-10-11
705,207,13211,2013-10-29
705,206,13182,2013-10-31
705,206,13202,2013-11-05
705,206,13215,2013-11-07
705,206,13219,2013-11-08
705,206,13236,2013-11-12
705,206,13237,2013-11-15
705,206,13267,2013-11-19
705,206,13284,2013-11-22
705,206,13304,2013-11-25
705,206,13314,2013-11-26
705,206,13323,2013-11-28
705,206,13340,2013-12-03
705,206,13346,2013-12-05
705,206,13360,2013-12-06
705,206,13372,2013-12-09
705,206,13383,2013-12-10
705,206,13389,2013-12-12
705,204,13397,2013-12-13
705,206,13450,2014-01-16
705,206,13476,2014-01-21
705,206,13487,2014-01-23
705,206,13528,2014-02-11
705,206,13555,2014-02-13
705,206,13560,2014-02-17
705,206,13573,2014-02-18
705,206,13587,2014-02-20
705,206,13634,2014-03-04
705,206,13638,2014-03-05
705,206,13666,2014-03-11
705,206,13691,2014-03-18
705,206,13712,2014-03-25
705,206,13730,2014-03-27
705,206,13744,2014-03-31
705,206,13759,2014-04-03
705,206,13783,2014-04-10
705,206,13786,2014-04-10
705,206,13787,2014-04-11
705,206,13811,2014-04-29
705,206,13824,2014-05-02
705,206,13839,2014-05-05
705,206,13854,2014-05-06
705,206,13859,2014-05-07
705,206,13875,2014-05-09
705,206,13893,2014-05-13
705,206,13957,2014-06-12
705,206,14008,2014-08-22
705,206,14012,2014-08-26
557,202,13046,2013-10-04
557,202,13113,2013-10-04
557,148,13089,2013-10-08
557,202,13109,2013-10-09
557,202,13132,2013-10-14
557,202,13136,2013-10-16
557,202,13185,2013-11-01
557,202,13186,2013-11-04
557,202,13204,2013-11-08
557,202,13226,2013-11-11
557,203,13232,2013-11-12
557,202,13238,2013-11-13
557,148,13245,2013-11-14
557,202,13247,2013-11-15
557,202,13258,2013-11-18
557,202,13246,2013-11-18
557,202,13274,2013-11-20
557,202,13280,2013-11-21
557,202,13296,2013-11-25
557,203,13298,2013-11-25
557,202,13321,2013-11-27
557,202,13334,2013-11-29
557,202,13338,2013-12-02
557,203,13342,2013-12-03
557,202,13349,2013-12-04
557,202,13354,2013-12-05
557,202,13361,2013-12-06
557,202,13374,2013-12-09
557,202,13386,2013-12-11
557,202,13407,2013-12-16
557,202,13418,2013-12-17
557,202,13421,2013-12-18
557,202,13423,2013-12-18
557,202,13425,2013-12-19
557,202,13430,2013-12-19
557,202,13431,2013-12-20
557,202,13435,2013-12-21
557,202,13503,2013-12-21
557,202,13446,2014-01-15
557,202,13497,2014-01-27
557,202,13508,2014-01-29
557,202,13526,2014-02-10
557,202,13549,2014-02-12
557,148,13553,2014-02-12
557,148,13556,2014-02-13
557,202,13569,2014-02-17
557,202,13578,2014-02-19
557,202,13603,2014-02-24
557,202,13610,2014-02-26
557,202,13621,2014-03-03
557,202,13632,2014-03-05
557,202,13658,2014-03-10
557,202,13669,2014-03-12
557,202,13682,2014-03-14
557,202,13710,2014-03-24
557,204,13734,2014-03-28
557,202,13749,2014-04-02
557,202,13757,2014-04-03
557,206,13787,2014-04-11
557,202,13814,2014-04-11
557,202,13807,2014-04-28
557,202,13818,2014-04-30
557,202,13837,2014-05-05
557,202,13845,2014-05-06
557,202,13858,2014-05-06
557,202,13860,2014-05-07
557,202,13868,2014-05-08
557,202,13878,2014-05-09
557,202,13886,2014-05-12
557,202,13898,2014-05-13
557,202,13919,2014-05-15
557,202,13924,2014-05-16
557,148,14015,2014-09-02
707,148,13089,2013-10-08
707,207,13118,2013-10-09
707,207,13137,2013-10-11
707,207,13148,2013-10-14
707,207,13152,2013-10-16
707,207,13131,2013-10-18
707,207,13210,2013-10-28
707,207,13211,2013-10-29
707,207,13213,2013-10-30
707,207,13212,2013-11-01
707,207,13181,2013-11-04
707,148,13201,2013-11-05
707,148,13268,2013-11-19
707,207,13266,2013-11-20
707,207,13283,2013-11-22
707,148,13293,2013-11-22
707,207,13300,2013-11-25
707,148,13301,2013-11-25
707,207,13302,2013-11-26
707,207,13343,2013-12-02
707,207,13327,2013-12-03
707,207,13444,2014-01-15
707,148,13451,2014-01-16
707,148,13479,2014-01-21
707,207,13478,2014-01-22
707,148,13489,2014-01-23
707,148,13502,2014-01-28
707,148,13534,2014-02-11
707,207,13518,2014-02-12
707,148,13556,2014-02-13
707,207,13557,2014-02-17
707,207,13574,2014-02-19
707,148,13597,2014-02-21
707,207,13585,2014-02-24
707,148,13608,2014-02-25
707,148,13620,2014-03-03
707,148,13633,2014-03-04
707,207,13619,2014-03-04
707,148,13645,2014-03-05
707,148,13649,2014-03-06
707,148,13651,2014-03-07
707,148,13679,2014-03-13
707,207,13696,2014-03-24
707,148,13714,2014-03-25
707,148,13733,2014-04-01
707,148,13764,2014-04-03
707,148,13772,2014-04-08
707,148,13817,2014-04-29
707,148,13827,2014-05-02
707,148,13853,2014-05-06
707,148,13861,2014-05-07
707,148,13877,2014-05-09
707,148,13896,2014-05-13
707,205,13905,2014-05-14
707,148,13901,2014-05-14
707,207,13936,2014-05-16
707,148,13985,2014-07-24
707,207,13990,2014-08-12
707,207,14006,2014-08-25
707,148,14015,2014-09-02
1168,202,13038,2013-10-02
1168,203,13039,2013-10-03
1168,202,13046,2013-10-04
1168,202,13113,2013-10-04
1168,203,13096,2013-10-08
1168,206,13093,2013-10-08
1168,202,13109,2013-10-09
1168,206,13111,2013-10-10
1168,206,13119,2013-10-11
1168,206,13120,2013-10-11
1168,206,13135,2013-10-15
1168,202,13136,2013-10-16
1168,216,13144,2013-10-17
1168,202,13175,2013-10-29
1168,202,13176,2013-10-30
1168,206,13182,2013-10-31
1168,216,13150,2013-11-01
1168,202,13186,2013-11-04
1168,206,13202,2013-11-05
1168,203,13214,2013-11-07
1168,202,13226,2013-11-11
1168,206,13236,2013-11-12
1168,202,13238,2013-11-13
1168,216,13234,2013-11-13
1168,202,13247,2013-11-15
1168,206,13237,2013-11-15
1168,202,13246,2013-11-18
1168,206,13267,2013-11-19
1168,216,13248,2013-11-19
1168,202,13280,2013-11-21
1168,202,13291,2013-11-22
1168,216,13275,2013-11-22
1168,206,13284,2013-11-22
1168,206,13323,2013-11-28
1168,202,13338,2013-12-02
1168,202,13349,2013-12-04
1168,202,13354,2013-12-05
1168,206,13372,2013-12-09
1168,202,13386,2013-12-11
1168,201,13395,2013-12-12
1168,201,13398,2013-12-12
1168,201,13405,2013-12-16
1168,201,13417,2013-12-17
1168,202,13423,2013-12-18
1168,202,13430,2013-12-19
1168,202,13435,2013-12-21
1168,202,13446,2014-01-15
1168,202,13474,2014-01-20
1168,207,13521,2014-02-10
1168,216,13605,2014-02-26
1168,216,13624,2014-03-03
1168,216,13646,2014-03-06
1168,204,13694,2014-03-19
1168,203,13699,2014-03-20
1168,204,13711,2014-03-24
1168,204,13716,2014-03-26
1168,204,13752,2014-04-01
1168,202,13757,2014-04-03
1168,202,13765,2014-04-07
